Asia/Karachi,5,0,PK,243,PKT,,
Asia/Oral,5,0,KZ,260,ORAT,,
Asia/Samarkand,5,0,UZ,269,UZT,,
Asia/Tashkent,5,0,UZ,275,UZT,,
Asia/Yekaterinburg,5,0,RU,286,YEKT,,
Indian/Kerguelen,5,0,TF,371,TFT,,
Indian/Maldives,5,0,MV,373,MVT,,
Asia/Colombo,5.5,0,LK,226,IST,,
Asia/Kolkata,5.5,0,IN,246,IST,,
Asia/Kathmandu,5.75,0,NP,244,NPT,,
Antarctica/Vostok,6,0,AQ,208,VOST,,
Asia/Almaty,6,0,KZ,211,ALMT,,
Asia/Bishkek,6,0,KG,222,KGT,,
Asia/Dhaka,6,0,BD,228,BST,,
Asia/Novosibirsk,6,0,RU,258,NOVT,,
Asia/Omsk,6,0,RU,259,OMST,,
Asia/Qyzylorda,6,0,KZ,265,QYZT,,
Asia/Thimphu,6,0,BT,278,BTT,,
Asia/Urumqi,6,0,CN,281,CST,,
Indian/Chagos,6,0,IO,367,IOT,,
Asia/Rangoon,6.5,0,MM,266,MMT,,
Indian/Cocos,6.5,0,CC,369,CCT,,
Antarctica/Davis,7,0,AQ,199,DAVT,,
Asia/Bangkok,7,0,TH,220,ICT,,
Asia/Ho_Chi_Minh,7,0,VN,234,ICT,,
Asia/Hovd,7,0,MN,236,HOVT,,
Asia/Jakarta,7,0,ID,238,WIB,,
Asia/Krasnoyarsk,7,0,RU,247,KRAT,,
Asia/Novokuznetsk,7,0,RU,257,NOVT,,
Asia/Phnom_Penh,7,0,KH,261,ICT,,
Asia/Pontianak,7,0,ID,262,WIB,,
Asia/Vientiane,7,0,LA,283,ICT,,
Indian/Christmas,7,0,CX,368,CXT,,
Antarctica/Casey,8,0,AQ,198,CAST,,
Asia/Brunei,8,0,BN,223,BNT,,
Asia/Chita,8,0,RU,224,IRKT,,
Asia/Choibalsan,8,0,MN,225,CHOT,,
Asia/Hong_Kong,8,0,HK,235,HKT,,
Asia/Irkutsk,8,0,RU,237,IRKT,,
Asia/Kuala_Lumpur,8,0,MY,248,MYT,,
Asia/Kuching,8,0,MY,249,MYT,,
Asia/Macau,8,0,MO,251,CST,,
Asia/Makassar,8,0,ID,253,WITA,,
Asia/Manila,8,0,PH,254,PHT,,
Asia/Shanghai,8,0,CN,271,CST,,
Asia/Singapore,8,0,SG,272,SGT,,
Asia/Taipei,8,0,TW,274,CST,,
Asia/Ulaanbaatar,8,0,MN,280,ULAT,,
Australia/Perth,8,0,AU,308,AWST,,
Australia/Eucla,8.75,0,AU,303,ACWST,,
Asia/Dili,9,0,TL,229,TLT,,
Asia/Jayapura,9,0,ID,239,WIT,,
Asia/Khandyga,9,0,RU,245,YAKT,,
Asia/Pyongyang,9,0,KP,263,PYT,,
Asia/Seoul,9,0,KR,270,KST,,
Asia/Tokyo,9,0,JP,279,JST,,
Asia/Yakutsk,9,0,RU,285,YAKT,,
Pacific/Palau,9,0,PW,405,PWT,,
Australia/Darwin,9.5,0,AU,302,ACST,,
Antarctica/DumontDUrville,10,0,AQ,200,DDUT,,
Asia/Magadan,10,0,RU,252,MAGT,,
Asia/Sakhalin,10,0,RU,268,SAKT,,
Asia/Ust-Nera,10,0,RU,282,VLAT,,
