Asia/Qatar,3,0,QA,264,AST,AST
Asia/Qyzylorda,6,0,KZ,265,QYZT,QYZT
Asia/Rangoon,6.5,0,MM,266,MMT,MMT
Asia/Riyadh,3,0,SA,267,AST,AST
Asia/Sakhalin,10,0,RU,268,SAKT,SAKT
Asia/Samarkand,5,0,UZ,269,UZT,UZT
Asia/Seoul,9,0,KR,270,KST,KST
Asia/Shanghai,8,0,CN,271,CST,CST
Asia/Singapore,8,0,SG,272,SGT,SGT
Asia/Srednekolymsk,11,0,RU,273,SRET,SRET
Asia/Taipei,8,0,TW,274,CST,CST
Asia/Tashkent,5,0,UZ,275,UZT,UZT
Asia/Tbilisi,4,0,GE,276,GET,GET
Asia/Tehran,3.5,1,IR,277,IRST,IRDT
Asia/Thimphu,6,0,BT,278,BTT,BTT
Asia/Tokyo,9,0,JP,279,JST,JST
Asia/Ulaanbaatar,8,1,MN,280,ULAT,ULAST
Asia/Urumqi,6,0,CN,281,XJT,XJT
Asia/Ust-Nera,10,0,RU,282,VLAT,VLAT
Asia/Vientiane,7,0,LA,283,ICT,ICT
Asia/Vladivostok,10,0,RU,284,VLAT,VLAT
Asia/Yakutsk,9,0,RU,285,YAKT,YAKT
Asia/Yekaterinburg,5,0,RU,286,YEKT,YEKT
Asia/Yerevan,4,0,AM,287,AMT,AMT
Atlantic/Azores,-1,1,PT,288,AZOT,AZOST
Atlantic/Bermuda,-4,1,BM,289,AST,ADT
Atlantic/Canary,0,1,ES,290,WET,WEST
Atlantic/Cape_Verde,-1,0,CV,291,CVT,CVT
Atlantic/Faroe,0,1,FO,292,WET,WEST
Atlantic/Madeira,0,1,PT,293,WET,WEST
Atlantic/Reykjavik,0,0,IS,294,GMT,GMT
Atlantic/South_Georgia,-2,0,GS,295,GST,GST
Atlantic/St_Helena,0,0,SH,296,GMT,GMT
Atlantic/Stanley,-3,0,FK,297,FKST,FKST
Australia/Adelaide,10.5,-1,AU,298,ACDT,ACST
Australia/Brisbane,10,0,AU,299,AEST,AEST
Australia/Broken_Hill,10.5,-1,AU,300,ACDT,ACST
Australia/Currie,11,-1,AU,301,AEDT,AEST
Australia/Darwin,9.5,0,AU,302,ACST,ACST
Australia/Eucla,8.75,0,AU,303,ACWST,ACWST
Australia/Hobart,11,-1,AU,304,AEDT,AEST
Australia/Lindeman,10,0,AU,305,AEST,AEST
Australia/Lord_Howe,11,-0.5,AU,306,LHDT,LHST
