,region,country,latidude,longitude,pytzname,timezone,dst,std,dst
AmasyaTR,Amasya,TR,40.759719848632812,36.322498321533203,Europe/Istanbul,2.0,1.0,EET,EEST
AmazonasBR,Amazonas,BR,-2.5363900661468506,-57.759998321533203,America/Manaus,-4.0,0.0,AMT,AMT
AmazonasCO,Amazonas,CO,-4.2152800559997567,-69.940559387207031,America/Bogota,-5.0,0.0,COT,COT
AmazonasPE,Amazonas,PE,-5.6111102104187012,-78.43499755859375,America/Lima,-5.0,0.0,PET,PET
AmazonasVE,Amazonas,VE,5.6638898849487305,-67.623611450195312,America/Caracas,-4.5,0.0,VET,VET
Amnat CharoenTH,Amnat Charoen,TH,16.042219161987305,104.67343139648438,Asia/Bangkok,7.0,0.0,ICT,ICT
AmurRU,Amur,RU,53.75,127.26667022705078,Asia/Yakutsk,9.0,0.0,YAKT,YAKT
An GiangVN,An Giang,VN,10.383330345153807,105.41667175292969,Asia/Ho_Chi_Minh,7.0,0.0,ICT,ICT
An NajafIQ,An Najaf,IQ,31.998540878295895,44.339759826660156,Asia/Baghdad,3.0,0.0,AST,AST
An Nuqat al KhamsLY,An Nuqat al Khams,LY,32.931198120117195,12.081990242004395,Africa/Tripoli,2.0,0.0,EET,EET
AnambraNG,Anambra,NG,6.1454300880432129,6.788449764251709,Africa/Lagos,1.0,0.0,WAT,WAT
AnascoPR,Anasco,PR,18.293279647827148,-67.146293640136719,America/Puerto_Rico,-4.0,0.0,AST,AST
AncashPE,Ancash,PE,-9.1383304595947266,-77.743606567382812,America/Lima,-5.0,0.0,PET,PET
AndaluciaES,Andalucia,ES,37.542850494384773,-2.8419699668884282,Europe/Madrid,1.0,1.0,CET,CEST
Andaman and Nicobar IslandsIN,Andaman and Nicobar Islands,IN,11.666669845581055,92.75,Asia/Kolkata,5.5,0.0,IST,IST
Andhra PradeshIN,Andhra Pradesh,IN,17.649999618530273,83.266670227050781,Asia/Kolkata,5.5,0.0,IST,IST
